job_id,title,company,location,experience_level,employment_type,skills,description
1,Python Developer,TechNova Solutions,Bangalore,Entry Level,Full Time,"Python|Flask|Django|MySQL|Git","Develop and maintain Python web applications using Flask and Django. Work with MySQL databases and Git."
2,Machine Learning Engineer,DataMind AI,Hyderabad,Entry Level,Full Time,"Python|Machine Learning|Pandas|NumPy|Scikit-learn|TensorFlow","Build and deploy machine learning models using Python, Pandas, NumPy and Scikit-learn."
3,Data Analyst,Insight Analytics,Chennai,Entry Level,Full Time,"Python|Pandas|NumPy|SQL|Excel Power BI","Analyze business data, create reports and dashboards, and work with Python, Pandas, SQL and Power BI."
4,Full Stack Developer,WebCore Technologies,Bangalore,Junior,Full Time,"HTML|CSS|JavaScript|React|Node.js|MySQL|Git","Develop responsive web applications using React, Node.js, JavaScript, HTML, CSS and MySQL."
5,Backend Developer,CloudStack Systems,Pune,Junior,Full Time,"Python|Flask|FastAPI|PostgreSQL|Docker|Git","Develop scalable backend APIs using Python, Flask, FastAPI, PostgreSQL and Docker."
6,AI Engineer,NeuralWorks AI,Chennai,Entry Level,Full Time,"Python|Machine Learning|Deep Learning|NLP|TensorFlow|PyTorch","Develop AI solutions using Python, machine learning, deep learning and natural language processing."
7,Software Developer,CodeSphere Technologies,Coimbatore,Entry Level,Full Time,"Java|Python|C++|SQL|Git|Data Structures","Develop software applications using Java, Python and C++. Work with SQL databases and Git."
8,Frontend Developer,PixelCraft Labs,Chennai,Junior,Full Time,"HTML|CSS|JavaScript|React|Bootstrap|Git","Build modern responsive user interfaces using HTML, CSS, JavaScript, React and Bootstrap."
9,Data Scientist,AnalyticsHub,Bangalore,Intermediate,Full Time,"Python|Pandas|NumPy|Scikit-learn|Machine Learning|SQL","Develop predictive models and analyze large datasets using Python, Pandas, NumPy and machine learning."
10,DevOps Engineer,CloudBridge Technologies,Hyderabad,Junior,Full Time,"Linux|Docker|Kubernetes|AWS|Git|Jenkins","Manage cloud infrastructure and CI/CD pipelines using AWS, Docker, Kubernetes, Linux and Jenkins."
11,Python Intern,InnovateLabs,Chennai,Internship,Internship,"Python|Flask|Django|Git|SQL","Assist in developing Python applications and APIs using Flask, Django and SQL."
12,Junior Web Developer,DigitalWave Solutions,Coimbatore,Entry Level,Full Time,"HTML|CSS|JavaScript|Bootstrap|PHP|MySQL","Develop websites and web applications using HTML, CSS, JavaScript, Bootstrap, PHP and MySQL."
13,NLP Engineer,LanguageAI Labs,Bangalore,Junior,Full Time,"Python|NLP|spaCy|NLTK|Machine Learning|Transformers","Develop natural language processing applications using Python, spaCy, NLTK and machine learning."
14,Cloud Engineer,CloudMatrix,Hyderabad,Junior,Full Time,"AWS|Azure|Docker|Kubernetes|Linux|Python|Git","Deploy and manage cloud applications using AWS, Azure, Docker, Kubernetes and Linux."
15,Software Engineer,NextGen Software,Chennai,Entry Level,Full Time,"Python|Java|SQL|Git|Data Structures|Algorithms","Design and develop software applications using Python, Java, SQL and software engineering principles."
